Title,Authors,ISBN/UID,Read Status,Star Rating,Last Date Read
Dear Justyce,Nic Stone,9781984829665,to-read,3.742424242424242,2026-02-12
"The Constitution of the United States of America: The Declaration of Independence, The Bill of Rights",Founding Fathers,9781774260135,to-read,3.742424242424242,2026-02-12
Girl in Pieces,Kathleen Glasgow,9781101934715,read,4.75,2026-02-02
Dracula,Bram Stoker,9780393970128,to-read,3.742424242424242,2026-02-12
Just Mercy,Bryan Stevenson,4546287877317,to-read,3.742424242424242,2026-02-12
Dead Souls,Nikolai Gogol,9780140448078,to-read,3.742424242424242,2026-02-12
The Adventures of Tom Sawyer,Mark Twain,9780143039563,to-read,3.742424242424242,2026-02-12
Persuasion,Jane Austen,9780192802637,to-read,3.742424242424242,2026-02-12
The Perks of Being a Wallflower,Stephen Chbosky,9781508251552,to-read,3.742424242424242,2026-02-12
Long Way Down,Jason Reynolds,9781481438254,to-read,3.742424242424242,2026-02-12
The Complete Sherlock Holmes,Arthur Conan Doyle,9781610589734,to-read,3.742424242424242,2026-02-12
The Bell Jar,Sylvia Plath,9780571268863,to-read,3.742424242424242,2026-02-12
The Crucible,Arthur Miller,9780142437339,to-read,3.742424242424242,2026-02-12
The Pickwick Papers,Charles Dickens,9780192545015,to-read,3.742424242424242,2026-02-12
Uncle Tom's Cabin,Harriet Beecher Stowe,9780486440286,to-read,3.742424242424242,2026-02-12
Một cuốn sách về chủ nghĩa tối giản,Chi Nguyen,5254006998949,to-read,3.742424242424242,2026-02-12
Counting Down with You,Tashie Bhuiyan,9781335209979,to-read,3.742424242424242,2026-02-12
Truyện Kiều,Nguyễn Du,8935236402569,to-read,3.742424242424242,2026-02-12
East of Eden,John Steinbeck,9780142000656,to-read,3.742424242424242,2026-02-12
"Good Girl, Bad Blood",Holly Jackson,9781405297752,to-read,3.742424242424242,2026-02-12
The Trial,"Max Brod, Franz Kafka",1786614709331,to-read,3.742424242424242,2026-02-12
A Court of Mist and Fury,Sarah J. Maas,9781635575583,read,5.0,2024-06-14
Picking Daisies on Sundays,Liana Cincotti,3407759824343,to-read,3.742424242424242,2026-02-12
Gone with the Wind,Margaret Mitchell,9780446365383,to-read,3.742424242424242,2026-02-12
I Leave It Up to You,Jinwoo Chong,9780593727065,to-read,3.742424242424242,2026-02-12
Stolen Girl,Marsha Forchuk Skrypuch,9781338233049,to-read,3.742424242424242,2026-02-12
In Five Years,Rebecca Serle,9781982137441,to-read,3.742424242424242,2026-02-12
A Gentleman in Moscow,Amor Towles,3963270878116,to-read,3.742424242424242,2026-02-12
Don Quixote,Miguel de Cervantes,9780451525079,to-read,3.742424242424242,2026-02-12
Call It What You Want,Alissa DeRogatis,9781464223365,to-read,3.742424242424242,2026-02-12
A Court of Thorns and Roses,Sarah J. Maas,9781635575569,read,3.0,2024-06-07
Convenience Store Woman,Sayaka Murata,9780802128256,to-read,3.742424242424242,2026-02-12
Sense and Sensibility,Jane Austen,9780141439662,to-read,3.742424242424242,2026-02-12
Today Tonight Tomorrow,Rachel Lynn Solomon,9781534440241,read,4.0,2024-06-16
Les Misérables,Victor Hugo,9780451525260,to-read,3.742424242424242,2026-02-12
The Book Thief,Markus Zusak,9781743515860,to-read,3.742424242424242,2026-02-12
A Song to Drown Rivers,Ann Liang,9781250289469,to-read,3.742424242424242,2026-02-12
Candide,Voltaire,9780486266893,to-read,3.742424242424242,2026-02-12
Restart,Gordon Korman,9781338053777,to-read,3.742424242424242,2026-02-12
To Kill a Mockingbird,Harper Lee,0446310506,to-read,3.742424242424242,2026-02-12
Anatomy: A Love Story,Dana Schwartz,9781250840578,to-read,3.742424242424242,2026-02-12
Lysistrata,Aristophanes,9780872206038,to-read,3.742424242424242,2026-02-12
All of Us Villains,"C.L. Herman, Amanda Foody",9781250789259,to-read,3.742424242424242,2026-02-12
The Song of Achilles,Madeline Miller,5858969212236,to-read,3.742424242424242,2026-02-12
Anna Karenina,Leo Tolstoy,9780345803924,to-read,3.742424242424242,2026-02-12
The Silent Patient,Alex Michaelides,9781250301697,to-read,3.742424242424242,2026-02-12
"Cỏ hạnh phúc: chúng ta mạnh mẽ hơn, chúng ta vẫn nghĩ : tản văn",Hari Won,9786049575563,to-read,3.742424242424242,2026-02-12
The Nightingale,Kristin Hannah,9780312577223,to-read,3.742424242424242,2026-02-12
The Diary of a Young Girl,Anne Frank,9781989879207,to-read,3.742424242424242,2026-02-12
This Time It's Real,Ann Liang,9781338827118,to-read,3.742424242424242,2026-02-12
Homo Deus: A History of Tomorrow,Yuval Noah Harari,9781473545571,to-read,3.742424242424242,2026-02-12
Life of Pi,Yann Martel,9780770430078,to-read,3.742424242424242,2026-02-12
Gone Girl,Gillian Flynn,9780307588371,to-read,3.742424242424242,2026-02-12
A Gentleman in Moscow,Amor Towles,2573163720765,to-read,3.742424242424242,2026-02-12
Catching Fire,Suzanne Collins,9780439023498,to-read,3.742424242424242,2026-02-12
The Do-Over,Lynn Painter,9781534478879,to-read,3.742424242424242,2026-02-12
Past Present Future,Rachel Lynn Solomon,9781665901956,to-read,3.742424242424242,2026-02-12
The Castle of Otranto,Horace Walpole,9780192834409,to-read,3.742424242424242,2026-02-12
Crime and Punishment (Abridged),Fyodor Dostoevsky,9780143058144,did-not-finish,3.742424242424242,2026-02-12
Catch-22,Joseph Heller,9780684833392,to-read,3.742424242424242,2026-02-12
Invisible Man,Ralph Ellison,9780241970560,to-read,3.742424242424242,2026-02-12
Brave New World,Aldous Huxley,9780060929879,to-read,3.742424242424242,2026-02-12
Book Lovers,Emily Henry,9780593440872,read,5.0,2025-06-02
Once Upon a Broken Heart,Stephanie Garber,9781250268396,to-read,3.742424242424242,2026-02-12
"A Hope More Powerful Than the Sea: One Refugee's Incredible Story of Love, Loss, and Survival",Melissa Fleming,9781250105998,to-read,3.742424242424242,2026-02-12
Awkward,Svetlana Chmakova,9780316381307,to-read,3.742424242424242,2026-02-12
The Soulmate Equation,Christina Lauren,9781982171117,to-read,3.742424242424242,2026-02-12
Othello,William Shakespeare,9781986849401,to-read,3.742424242424242,2026-02-12
The Fault in Our Stars,John Green,9780143567592,to-read,3.742424242424242,2026-02-12
This Side of Paradise,F. Scott Fitzgerald,9780684843780,to-read,3.742424242424242,2026-02-12
A Little Life,Hanya Yanagihara,9780385539258,to-read,3.742424242424242,2026-02-12
To Kill a Mockingbird,Harper Lee,1784752630,to-read,3.742424242424242,2026-02-12
My Mechanical Romance,Alexene Farol Follmuth,9780823450107,to-read,3.742424242424242,2026-02-12
Loathe to Love You,Ali Hazelwood,9781408726778,read,4.5,2026-01-28
The Martian,Andy Weir,9780804139021,to-read,3.742424242424242,2026-02-12
Amari and the Great Game,B.B. Alston,9780062975195,to-read,3.742424242424242,2026-02-12
The Love Hypothesis,Ali Hazelwood,9780593336823,read,3.742424242424242,2022-12-19
The Canterville Ghost,Oscar Wilde,8742974410,to-read,3.742424242424242,2026-02-12
I Believe in a Thing Called Love,Maurene Goo,9780374304041,read,4.0,2024-07-16
All My Sons,Arthur Miller,9780141185460,to-read,3.742424242424242,2026-02-12
Nineteen Eighty-Four,George Orwell,9780452284234,read,5.0,2025-01-23
Number the Stars,Lois Lowry,9780440227533,to-read,3.742424242424242,2026-02-12
Lessons in Chemistry,Bonnie Garmus,3309645106297,to-read,3.742424242424242,2026-02-12
"Moby-Dick: Or, the Whale",Herman Melville,9780142437247,to-read,3.742424242424242,2026-02-12
I Hope This Doesn't Find You,Ann Liang,9781338827156,to-read,3.742424242424242,2026-02-12
There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,9780385265560,to-read,3.742424242424242,2026-02-12
A Raisin in the Sun,Lorraine Hansberry,9780375508332,to-read,3.742424242424242,2026-02-12
Death of a Salesman,Arthur Miller,9780435233075,to-read,3.742424242424242,2026-02-12
Mùa hè không tên,"Nguyễn Nhật Ánh, Đỗ Hoàng Tường",9786041237742,to-read,3.742424242424242,2026-02-12
The Book Thief,Markus Zusak,2044893314875,to-read,3.742424242424242,2026-02-12
If You Could See the Sun,Ann Liang,9781335915849,to-read,3.742424242424242,2026-02-12
On the Come Up,Angie Thomas,6286269280839,to-read,3.742424242424242,2026-02-12
Not Another Love Song,Julie Soto,9781538740910,to-read,3.742424242424242,2026-02-12
Emily Windsnap and the Siren's Secret,Liz Kessler,9781842556863,to-read,3.742424242424242,2026-02-12
Immortality: A Love Story,Dana Schwartz,9781250861016,to-read,3.742424242424242,2026-02-12
The Tempest,William Shakespeare,9727283049931,to-read,3.742424242424242,2026-02-12
